raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
Trường Đại Học Bách Khoa,Tin Học,tin hoc,25,dai hoc bach khoa,49,None,-1
hong bang,y sĩ đa khoa,y si da khoa,27,hong bang,100,None,-1
cao đẳng kinh tế kế hoạch,kế toán tổng hợp,ke toan tong hop,29,cao dang kinh te ke hoach,80,None,-1
Trường Cao Đẳng Công Thương TP.HCM,Food Technology,food technology,36,cao dang cong thuong hcm,45,cao dang cong thuong   hcm,96
Đại học kiến trúc Đà Nẵng,kiến trúc công trình,kien truc cong trinh,44,dai hoc kien truc da nang,64,dai hoc kien truc da nang,100
Cao đẳng kinh tế - tài chính Thái Nguyên,Tài chính ngân hàng,tai chinh ngan hang,43,cao dang kinh te tai chinh thai nguyen,75,cao dang kinh te   tai chinh thai nguyen,97
Đại Học Tây Bắc,Quản Lý Tài Nguyên Và Môi Trường,quan ly tai nguyen moi truong,17,dai hoc tay bac,47,dai hoc tay bac,100
Học viện Tài Chính (Academy Of Finance),Chuyên ngành,chuyen nganh,33,hoc vien tai chinh,39,hoc vien tai chinh,100
THPT CẨM PHẢ,Chuyên ngành,chuyen nganh,25,thpt cam pha,17,None,-1
đại học tài nguyên và môi trường hà nội,tài nguyên nước,tai nguyen nuoc,39,dai hoc tai nguyen moi truong ha noi,69,dai hoc tai nguyen moi truong ha noi,100
Đại học Kinh Tế Quốc Dân,Quản trị kinh doanh,quan tri kinh doanh,47,dai hoc kinh te quoc dan,58,dai hoc kinh te quoc dan,100
ĐH BACH KHOA ĐN,kỹ thuật điện,ky thuat dien,24,dai hoc bach khoa dn,17,None,-1
Đại Học Công Nghệ Sài Gòn ( STU),Chuyên ngành,chuyen nganh,32,dai hoc cong nghe sai gon,46,dai hoc cong nghe sai gon,100
Ho Chi Minh City University of Architecture,Chuyên ngành,chuyen nganh,21,hcm city university of architecture,77,None,-1
Kiến trúc,Chuyên ngành,chuyen nganh,19,kien truc,67,None,-1
THPT HIEN DA,Chuyên ngành,chuyen nganh,25,thpt hien da,17,None,-1
cap mot,lam xi nghiep,lam xi nghiep,20,cap mot,100,None,-1
dh sư phạm tphcm,giáo dục tiểu học hệ vừa làm vừa học,giao duc tieu hoc he vua lam vua hoc,44,dai hoc su pham hcm,69,dai hoc su pham   hcm,95
Trường Đại học Ngân hàng Thành phố Hồ Chí Minh,Chuyên ngành,chuyen nganh,36,dai hoc ngan hang hcm,39,dai hoc ngan hang   hcm,95
đại học ngoại thương,cử nhân kế toán,cu nhan ke toan,40,dai hoc ngoai thuong,70,dai hoc ngoai thuong,100
Tra Vinh University,Chuyên ngành,chuyen nganh,19,tra vinh university,84,None,-1
Đại học Kinh tế Quốc dân,Quản trị kinh doanh,quan tri kinh doanh,47,dai hoc kinh te quoc dan,67,dai hoc kinh te quoc dan,100
Trường THCS Hồ Đức Thắng,Chuyên ngành,chuyen nganh,34,thcs ho duc thang,34,None,-1
đại học cần thơ,xây dựng công trình thuỷ,xay dung cong trinh thuy,41,dai hoc can tho,67,dai hoc can tho,100
Trung tâm dạy nghề Quyết Thắng,Lái Xe,lai xe,11,trung tam day nghe quyet thang,73,None,-1
đại học công nghiệp hà nội,kỹ thuật điện,ky thuat dien,26,dai hoc cong nghiep ha noi,73,dai hoc cong nghiep ha noi,100
Nghề Quảng Cáo ,Nghề Quảng Cáo,nghe quang cao,57,nghe quang cao,55,None,-1
Đại học Xây dựng,Chuyên ngành,chuyen nganh,36,dai hoc xay dung,62,None,-1
Cao đẳng văn hoá nghệ thuật và du lịch Sài Gòn,Quản trị dịch vụ du lịch và lữ hành,quan tri dich vu du lich lu hanh,38,cao dang van hoa nghe thuat du lich sai gon,70,cao dang van hoa nghe thuat du lich sai gon,100
Trường Đại học Công Nghiệp TP.HCM,Công nghệ thông tin,cong nghe thong tin,38,dai hoc cong nghiep hcm,46,dai hoc cong nghiep   hcm,96
Học viện ký thuật quân sự,công nghệ thông tin,cong nghe thong tin,36,hoc vien ky thuat quan su,72,hoc vien ky thuat quan su,100
Trường Đại học Nha Trang,Chuyên ngành,chuyen nganh,34,dai hoc nha trang,59,dai hoc nha trang,100
Asia University of Art & Design,Fashion Design,fashion design,47,asia university of art design,83,None,-1
Đại học Sư Phạm Kỹ Thuật TP HCM,Quản lý Công nghiệp,quan ly cong nghiep,21,dai hoc su pham ky thuat hcm,47,dai hoc su pham ky thuat   hcm,97
Trường THPT Chuyên Trần Hưng Đạo,Chuyên Lý,chuyen ly,29,thpt chuyen tran hung dao,46,None,-1
trung tâm giáo dục thường xuyên quận 10,ngoại ngữ,ngoai ngu,25,trung tam giao duc thuong xuyen quan 10,82,None,-1
ĐH Thủ Dầu Một,Sư phạm Vật Lý,su pham vat ly,30,dai hoc thu dau mot,36,dai hoc thu dau mot,100
Cao Đẳng Cộng Đồng Hà Nội,Chuyên ngành,chuyen nganh,32,cao dang cong dong ha noi,56,cao dang cong dong ha noi,100
đại học công nghệ tp hcm ,kế toán tài chính ,ke toan tai chinh,36,dai hoc cong nghe hcm,70,dai hoc cong nghe   hcm,95
Đại Học Mở Thành Phố Hồ Chí Minh,Quản trị kinh doanh,quan tri kinh doanh,30,dai hoc mo hcm,26,None,-1
Đại học Thủy Lợi Hà Nội,Công nghệ thông tin,cong nghe thong tin,38,dai hoc thuy loi ha noi,52,None,-1
hướng nghiệp á âu,quản trị nhà hàng,quan tri nha hang,35,huong nghiep a au,71,None,-1
HUTECH - Đại học Công nghệ Tp.HCM,Chuyên ngành,chuyen nganh,35,hutech dai hoc cong nghe hcm,43,None,-1
SGU_Sai gon University,Chuyên ngành Tiếng Anh( thương mại- du lịch),chuyen nganh tieng anh,24,sgu sai gon university,73,None,-1
Trường Đại Học Lao Động - Xã Hội CSII,Kế toán,ke toan,16,dai hoc lao dong xa hoi co so 2,38,None,-1
đại học công nghiệp việt hung,điện tử,dien tu,22,dai hoc cong nghiep viet hung,79,dai hoc cong nghiep viet hung,100
Trường Đại học Kinh tế Quốc Dân - NEU,Ngân hàng,ngan hang,16,dai hoc kinh te quoc dan neu,49,None,-1
Cao đẳng Công Thương TPHCM,Quản trị kinh doanh,quan tri kinh doanh,33,cao dang cong thuong hcm,52,cao dang cong thuong   hcm,96
day nghe hoang gia,lai xe,lai xe,25,day nghe hoang gia,100,None,-1
ta,fa,fa,50,ta,100,None,-1
Dai hoc Duy Tan,Chuyên ngành,chuyen nganh,37,dai hoc duy tan,80,dai hoc duy tan,100
Duy Tan University,Chuyên ngành,chuyen nganh,33,duy tan university,83,None,-1
DTU Danang,Quản trị du lịch,quan tri du lich,23,dtu danang,60,None,-1
Ton Duc Thang University,CNSH,cnsh,0,ton duc thang university,83,None,-1
Trường Cao đẳng Kinh tế Kỹ thuật Công nghiệp II,Chuyện ngành thiệt kể thôi trang,chuyen nganh thiet ke thoi trang,42,cao dang kinh te ky thuat cong nghiep 2,63,None,-1
Đại Học Công Nghiệp Hà Nội,Quản trị kinh doanh,quan tri kinh doanh,31,dai hoc cong nghiep ha noi,54,dai hoc cong nghiep ha noi,100
Duy Tân,Kỹ thuật mạng,ky thuat mang,30,duy tan,57,None,-1
truong THCS hưng yên,ko có,ko co,11,thcs hung yen,48,None,-1
Cao Đẳng Công Nghiệp Việt Đức,Chuyên ngành,chuyen nganh,29,cao dang cong nghiep viet duc,62,cao dang cong nghiep viet duc,100
Đại Học Thành Đô,Chuyên ngành kế toán,chuyen nganh ke toan,33,dai hoc thanh do,50,dai hoc thanh do,100
cao đẳng xây dựng,xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,37,cao dang xay dung,76,None,-1
Trường Đời,Chuyên ngành,chuyen nganh,0,doi,15,None,-1
Đại học Vinh,Ngôn ngữ Anh,ngon ngu anh,33,dai hoc vinh,67,dai hoc vinh,100
Đại học Sư phạm Hà Nội 2,Giáo dục mầm non,giao duc mam non,44,dai hoc su pham ha noi 2,58,dai hoc su pham ha noi,96
Chuyên Sỉ Áo Thun,Chuyên ngành,chuyen nganh,41,chuyen si ao thun,65,None,-1
thpt dân lập thanh bình,học sinh,hoc sinh,32,thpt dan lap thanh binh,87,None,-1
Đại Học paris-Sud  Châu Âu,Chuyên ngành,chuyen nganh,22,dai hoc paris sud chau au,63,None,-1
HUTECH - Trường Đại học Công nghệ TP.HCM,Luật kinh tế k17,luat kinh te k17,26,hutech truong dai hoc cong nghe hcm,45,None,-1
Duhoc.net,Chuyên ngành,chuyen nganh,29,duhoc net,78,None,-1
Đại học Tôn Đức Thắng,"Tour ism& Tour guide,",tour ism tour guide,29,dai hoc ton duc thang,57,dai hoc ton duc thang,100
"University of Economics, HCMC",International Business,international business,33,university of economics hcm,79,None,-1
College Of Foreign Economic Relations (COFER),Chuyên ngành: Kế Toán,chuyen nganh: ke toan,24,college of foreign economic relations,78,None,-1
Đại Học Nguyễn Tất Thành,Y sỹ đa khoa,y sy da khoa,33,dai hoc nguyen tat thanh,58,dai hoc nguyen tat thanh,100
dai hoc van hoa ha noi,Chuyên ngành,chuyen nganh,24,dai hoc van hoa ha noi,100,dai hoc van hoa ha noi,100
THPT Phú Thịnh,Chuyên ngành,chuyen nganh,38,thpt phu thinh,43,None,-1
đại học thương mại,quản trị kinh doanh,quan tri kinh doanh,27,dai hoc thuong mai,67,dai hoc thuong mai,100
ĐẠI HỌC THỦY LỢI HÀ NỘI,"Kỹ thuật điện, điện tử",ky thuat dien dien tu,36,dai hoc thuy loi ha noi,22,None,-1
đại học thành đô,kế toán tổng hợp,ke toan tong hop,38,dai hoc thanh do,62,dai hoc thanh do,100
Đại học kinh doanh và công nghệ Hà Nội,Tài chính - Ngân hàng,tai chinh ngan hang,43,dai hoc kinh doanh cong nghe ha noi,71,dai hoc kinh doanh cong nghe ha noi,100
Trường đời,Chuyên ngành,chuyen nganh,0,doi,15,None,-1
IUH - Trường ĐH Công Nghiệp Tp.HCM,Tài chính doanh nghiệp,tai chinh doanh nghiep,46,iuh truong dai hoc cong nghiep hcm,41,None,-1
Cao Đẳng Nghề Du Lịch Sài Gòn,Chuyên ngành : Quản Trị Khách Sạn Nhà Hàng,chuyen nganh : quan tri khach san nha hang,39,cao dang nghe du lich sai gon,63,cao dang nghe du lich sai gon,100
điện lực,kế toán doanh nghiệp,ke toan doanh nghiep,21,dien luc,62,None,-1
ĐH Bôn Ba -Khoa: ăn không nói có-chém gió đổ cây,Chuyên ngành,chuyen nganh,22,dai hoc bon ba khoa: an khong noi co chem gio do cay,62,None,-1
THPT Định Hóa,Chuyên ngành,chuyen nganh,32,thpt dinh hoa,38,None,-1
Trường PTDTBTTH Cơ Sở Siu Blễh,Administrative Body,administrative body,24,ptdtbtth co so siu bleh,29,None,-1
trường cao đẳng nông nghiệp và phát triển nông thôn,quản trị kinh doanh,quan tri kinh doanh,33,cao dang nong nghiep phat trien nong thon,72,None,-1
Đại học Giao thông vận tải Hà Nội,Kĩ thuật xây dựng công trình giao thông,ki thuat xay dung cong trinh giao thong,39,dai hoc giao thong van tai ha noi,67,None,-1
Trường Cao đẳng sư phạm Cà Mau,Chuyên ngành,chuyen nganh,23,cao dang su pham ca mau,57,None,-1
Cao Đẳng Công Nghệcbqbababsbsnsnnsjsbsbsbw  e w s,Công nghệ thông tin,cong nghe thong tin,27,cao dang cong nghecbqbababsbsnsnnsjsbsbsbw e w s,85,None,-1
brn,hehe,hehe,0,brn,100,None,-1
THPT Đa Phước,Chuyên ngành,chuyen nganh,24,thpt da phuoc,38,None,-1
TP HCM,Ma Ket Tinh,ma ket tinh,14,hcm,0,None,-1
Vien Dai Hoc Mo HN,Ngân hàng,ngan hang,26,vien dai hoc mo ha noi,60,None,-1
Vien Dai Hoc Mo HN,Ngân hàng,ngan hang,26,vien dai hoc mo ha noi,60,None,-1
đại học tài chính kế toán,kế toán,ke toan,31,dai hoc tai chinh ke toan,72,dai hoc tai chinh   ke toan,96
đại học Quang Trung,kế toán,ke toan,23,dai hoc quang trung,74,dai hoc quang trung,100
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Information of Technology (IT),information of technology,34,dai hoc cong nghe dai hoc quoc gia ha noi,62,dai hoc cong nghe dai hoc quoc gia ha noi,100
Coltech,Chuyên ngành,chuyen nganh,11,coltech,86,None,-1
Đại học Lạc Hồng,Quản trị kinh doanh,quan tri kinh doanh,29,dai hoc lac hong,56,dai hoc lac hong,100
không có,không có,khong co,75,khong co,75,None,-1
IUH -  ĐH Công Nghiệp TP.HCM,Chuyên ngành,chuyen nganh,31,iuh dai hoc cong nghiep hcm,40,None,-1
Đại học Sài Gòn ( Saigon University - SGU ),Văn hóa du lịch,van hoa du lich,27,dai hoc sai gon,34,dai hoc sai gon,100
Trường Đời,Chuyên ngành,chuyen nganh,0,doi,15,None,-1
Cao Đẳng Kinh Tế Đối Ngoại,Chuyên ngành,chuyen nganh,26,cao dang kinh te doi ngoai,62,cao dang kinh te doi ngoai,100
CĐSP Bắc Ninh,Chuyên ngành,chuyen nganh,27,cao dang su pham bac ninh,32,cao dang su pham bac ninh,100
han thuyen,kinh doanh,kinh doanh,40,han thuyen,100,None,-1
trung cấp mầm non hà nội,sư phạm mầm non,su pham mam non,46,trung cap mam non ha noi,83,None,-1
Dh Gtvt Tphcm,Xây dựng cầu đường,xay dung cau duong,25,dai hoc giao thong van tai hcm,42,dai hoc giao thong van tai   hcm,97
BMT,Chuyên ngành,chuyen nganh,0,bmt,0,None,-1
đại hoc van hoa tphcm,quan ly nghe thuat xa hoi,quan ly nghe thuat xa hoi,41,dai hoc van hoa hcm,85,dai hoc van hoa   hcm,95
Văn Lang University,Chuyên ngành,chuyen nganh,32,van lang university,79,None,-1
Dai Hoc Tai Gia,Chuyên ngành,chuyen nganh,22,dai hoc tai gia,73,None,-1
Trung học phổ thông,buôn bán làm thuê,buon ban lam thue,39,trung hoc pho thong,79,None,-1
Lincoln University,Bachelor Business of Administration,bachelor business of administration,34,lincoln university,89,None,-1
HUTECH - Trường Đại học Công nghệ TP.HCM,Bachelor Business of Administration,bachelor business of administration,31,hutech truong dai hoc cong nghe hcm,45,None,-1
cơ sở phú mỹ,tin,tin,0,co so phu my,67,None,-1
"Học Viện Hàng Không Ăn Hàng-Ở Không"" VN""",Chuyên ngành,chuyen nganh,27,"hoc vien hang khong an hang o khong"" vn""",60,None,-1
trường đại học tài chính marketing,quản trị khách sạn,quan tri khach san,31,dai hoc tai chinh marketing,72,dai hoc tai chinh   marketing,96
Trường Cao đẳng y tế Sơn La,Chuyên ngành,chuyen nganh,25,cao dang y te son la,55,cao dang y te son la,100
trường Đại học Mỏ - Địa chất Hà Nội,Quản Trị Kinh Doanh,quan tri kinh doanh,31,dai hoc mo dia chat ha noi,46,None,-1
Trường Cao đẳng Cộng Đồng Hà Nội,Contabilidad,contabilidad,22,cao dang cong dong ha noi,49,cao dang cong dong ha noi,100
cd xay dung so 2,Tài Nguyên Nước,tai nguyen nuoc,27,cao dang xay dung so 2,84,cao dang xay dung so 1,95
Music Lossless,Khoa Kỹ thuật Tài nguyên Nước,khoa ky thuat tai nguyen nuoc,14,music lossless,86,None,-1
Trường Đại học Cần Thơ - Can Tho University,Chuyên ngành,chuyen nganh,22,dai hoc can tho can tho university,62,None,-1
thpt hà Quảng,lớp 12,lop 12,21,thpt ha quang,77,None,-1
TC Bách khoa SÀi Gòn,dược sĩ,duoc si,22,tc bach khoa sai gon,60,None,-1
Trường Đại học Đà Lạt,Quản trị dịch vụ Du lịch và Lữ hành_TravelTourism,quan tri dich vu du lich lu hanh traveltourism,19,dai hoc da lat,40,dai hoc da lat,100
Trường Cao đẳng Du lịch Hà Nội,Quản trị nhà hàng khách sạn,quan tri nha hang khach san,32,cao dang du lich ha noi,53,cao dang du lich ha noi,100
Đại học Quốc tế Hồng Bàng - HIU,Thiết kế Thời Trang,thiet ke thoi trang,33,dai hoc quoc te hong bang hiu,53,None,-1
Đại học Thương Mại,Cử nhân kế toán,cu nhan ke toan,36,dai hoc thuong mai,56,dai hoc thuong mai,100
Đại học công nghệ giao thông vận tải,Chuyên ngành,chuyen nganh,25,dai hoc cong nghe giao thong van tai,78,dai hoc cong nghe giao thong van tai,100
Trường Đại học Tài chính - Marketing,Kiểm Toán,kiem toan,22,dai hoc tai chinh marketing,63,dai hoc tai chinh   marketing,96
DH Vinh,Food and Technology,food and technology,32,dai hoc vinh,42,dai hoc vinh,100
trường Cao Đẵng Y Tế Cà Mau,Điều Dưỡng Trung Học,dieu duong trung hoc,30,cao dang y te ca mau,47,cao dang y te ca mau,100
Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,Giáo dục thể chất,giao duc the chat,36,dai hoc su pham the duc the thao ha noi,51,dai hoc su pham the duc the thao ha noi,100
Saigon University,International studies,international studies,47,saigon university,88,None,-1
Sinh viên Hutech,PHUC VU NHA HANG,phuc vu nha hang,12,sinh vien hutech,81,None,-1
Trường Đại học Khoa học Xã hội và Nhân văn,Tâm lý học,tam ly hoc,19,dai hoc khoa hoc xa hoi nhan van,57,None,-1
Đại học Xây dựng,Chuyên ngành,chuyen nganh,36,dai hoc xay dung,62,None,-1
Đại Học Nguyễn Tất Thành,Chuyên ngành điều dưỡng,chuyen nganh dieu duong,34,dai hoc nguyen tat thanh,58,dai hoc nguyen tat thanh,100
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh,Chuyên ngành,chuyen nganh,31,dai hoc nong lam hcm,34,dai hoc nong lam   hcm,95
Trường nghề Hùng Vương,Chuyên ngành,chuyen nganh,44,nghe hung vuong,49,None,-1
Dh Cong Nghiep Tphcm,KS công nghệ thực phẩm,ks cong nghe thuc pham,53,dai hoc cong nghiep hcm,70,dai hoc cong nghiep   hcm,96
Doanh nghiệp Việt Tâm Đức,Thiết kế đồ hoạ 2D,thiet ke do hoa 2d,23,doanh nghiep viet tam duc,68,None,-1
COFER-College Of Foreign Economic Relations,Quản trị kinh doanh,quan tri kinh doanh,26,cofer college of foreign economic relations,74,None,-1
Trường Đại Học Nông Lâm TP. HCM,Chứng chỉ Tiếng Anh B1,chung chi tieng anh b1,33,dai hoc nong lam hcm,35,dai hoc nong lam   hcm,95
Trường Đại Học Nông Lâm TP. HCM,Chứng chỉ B Tin Học,chung chi b tin hoc,31,dai hoc nong lam hcm,35,dai hoc nong lam   hcm,95
Trường Đại Học Kinh Tế TP. HCM,Kế toán DN và Khai Báo Thuế,ke toan dn khai bao thue,30,dai hoc kinh te hcm,37,dai hoc kinh te   hcm,95
VOV college II,Khoa Báo Chí,khoa bao chi,32,vov college 2,67,None,-1
Học viện Công nghệ Bưu chính Viễn thông,Chuyên ngành,chuyen nganh,27,hoc vien cong nghe buu chinh vien thong,69,hoc vien cong nghe buu chinh vien thong,100
cao đẳng công nghệ cao Đồng Nai,Quản Trị Kinh Doanh,quan tri kinh doanh,32,cao dang cong nghe cao dong nai,77,None,-1
RMIT University Vietnam,Chuyên ngành,chuyen nganh,23,rmit university vietnam,74,None,-1
Hanoi Law University,Ngành Luật Học,nganh luat hoc,24,hanoi law university,85,None,-1
Trường THPT Kiến Tường - Long An,Chuyên ngành,chuyen nganh,40,thpt kien tuong long an,44,None,-1
Cao Dang Ky Thuat Cong Nghe Dong Nai,Chuyên ngành,chuyen nganh,29,cao dang ky thuat cong nghe dong nai,78,None,-1
Sinh viên Hutech,Chuyên ngành,chuyen nganh,29,sinh vien hutech,81,None,-1
đã nghỉ,Đầu bếp,dau bep,14,da nghi,57,None,-1
cao đẳng gtvt 2,sửa máy tàu thủy,sua may tau thuy,27,cao dang giao thong van tai 2,59,None,-1
Đại học Luật TP. Hồ Chí Minh,Luật Thương Mại,luat thuong mai,26,dai hoc luat hcm,41,None,-1
đại học kinh tế kỹ thuật công nghiệp hà nội,kế toán,ke toan,20,dai hoc kinh te ky thuat cong nghiep ha noi,77,None,-1
Học viện Âm nhạc Quốc gia Việt Nam,Sư phạm Âm nhạc,su pham am nhac,29,hoc vien am nhac quoc gia viet nam,71,hoc vien am nhac quoc gia viet nam,100
trường  cao đẳng văn hoá nghệ thuật và du lịch sài gòn,thư ký văn phòng,thu ky van phong,27,cao dang van hoa nghe thuat du lich sai gon,70,cao dang van hoa nghe thuat du lich sai gon,100
ĐH Y Khoa Phạm Ngọc Thạch,Chuyên ngành,chuyen nganh,29,dai hoc y khoa pham ngoc thach,55,dai hoc y khoa pham ngoc thach,100
duy tân,xây dựng,xay dung,40,duy tan,86,None,-1
Đại học Tôn Đức Thắng,Chuyên ngành,chuyen nganh,30,dai hoc ton duc thang,57,dai hoc ton duc thang,100
Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,Kỹ thuật xây dựng công trình giao thông,ky thuat xay dung cong trinh giao thong,33,dai hoc su pham ky thuat hcm,42,dai hoc su pham ky thuat   hcm,97
Học Viện Ngân Hàng,Quản Trị Kinh Doanh,quan tri kinh doanh,38,hoc vien ngan hang,56,hoc vien ngan hang,100
Ton Duc Thang University,Chuyên ngành,chuyen nganh,28,ton duc thang university,83,None,-1
Ton Duc Thang University,Chuyên ngành,chuyen nganh,28,ton duc thang university,83,None,-1
Trường THPT Lưu Đình Chất,Chuyên ngành,chuyen nganh,33,thpt luu dinh chat,37,None,-1
Đại Học Nguyễn Tất Thành,tài chính-ngan hang,tai chinh ngan hang,47,dai hoc nguyen tat thanh,58,dai hoc nguyen tat thanh,100
Đại Học Đông Á,kế toán,ke toan,29,dai hoc dong a,50,dai hoc dong a,100
Trường Đại Học Công Nghệ Sài Gòn (STU),khoa thiet ke thoi trang,khoa thiet ke thoi trang,37,dai hoc cong nghe sai gon,41,dai hoc cong nghe sai gon,100
Đại học Văn Hiến,Quản trị Nhà Hàng Khách sạn,quan tri nha hang khach san,33,dai hoc van hien,56,dai hoc van hien,100
kinh te tuyen quang,Chuyên ngành,chuyen nganh,45,kinh te tuyen quang,100,None,-1
HoChiMinh University Industry,Kế tóan-Kiểm tóan,ke toan kiem toan,22,hochiminh university industry,83,None,-1
cao dang cong dong vinh long,cao dang cong nghe thuc pham,cao dang cong nghe thuc pham,68,cao dang cong dong vinh long,100,None,-1
Trường Cao Đẳng Quốc Tế TP.HCM,Kĩ Thuật Dược,ki thuat duoc,30,cao dang quoc te hcm,40,cao dang quoc te   hcm,95
lạc hồng,quan trị kinh doanh,quan tri kinh doanh,37,lac hong,75,None,-1
"trung học hàng hải, học viện hải quân",hàng hải,hang hai,27,trung hoc hang hai hoc vien hai quan,79,None,-1
Đại học Y dược TP. HCM,Dược Tá,duoc ta,16,dai hoc y duoc hcm,45,dai hoc y duoc   hcm,95
Trường Đại học Nông - Lâm Bắc Giang,Chuyên ngành,chuyen nganh,26,dai hoc nong lam bac giang,52,dai hoc nong lam bac giang,100
Trường Trung Cấp Nghề Nấu Ăn Và Nghiệp Vụ Khách Sạn Hà Nội,Chuyên ngành,chuyen nganh,27,trung cap nghe nau an nghiep vu khach san ha noi,53,None,-1
Trường Trung Cấp Nghề Nấu Ăn Và Nghiệp Vụ Khách Sạn Hà Nội,Chuyên ngành,chuyen nganh,27,trung cap nghe nau an nghiep vu khach san ha noi,55,None,-1
cao dang du lich ha noi,QTKD Khách sạn,qtkd khach san,27,cao dang du lich ha noi,100,cao dang du lich ha noi,100
cao đẳng kinh tế kỹ thuật vinatex tp hồ chí minh,kế toán,ke toan,18,cao dang kinh te ky thuat vinatex hcm,75,None,-1
THPT Dl Văn Hiến,Văn hóa du lịch,van hoa du lich,32,thpt dl van hien,44,None,-1
U.N.A.M.,Chuyên ngành,chuyen nganh,32,u n a m,0,None,-1
Đại Học Dân Lập Phương Đông,Chuyên ngành,chuyen nganh,31,dai hoc dan lap phuong dong,52,None,-1
cao đẳng nghề số 19,điện lạnh,dien lanh,29,cao dang nghe so 19,79,None,-1
Đại học Tôn Đức Thắng,Chuyên ngành,chuyen nganh,30,dai hoc ton duc thang,57,dai hoc ton duc thang,100
Trường Đại Học Nông Lâm TP.HCM,Chuyên ngành,chuyen nganh,31,dai hoc nong lam hcm,36,dai hoc nong lam   hcm,95
Trường Đại Học Nông Lâm TP.HCM,Chuyên ngành,chuyen nganh,31,dai hoc nong lam hcm,36,dai hoc nong lam   hcm,95
Trường Đại Học Nông Lâm TP.HCM,Chuyên ngành,chuyen nganh,31,dai hoc nong lam hcm,36,dai hoc nong lam   hcm,95
Ho Chi Minh City University of Law,Luật quốc tế,luat quoc te,21,hcm city university of law,70,None,-1
HUTECH - Trường Đại học Công nghệ TP.HCM,Chuyên ngành,chuyen nganh,34,hutech truong dai hoc cong nghe hcm,45,None,-1
Sinh viên Hutech,QTKD,qtkd,0,sinh vien hutech,81,None,-1
Trường Đại học Kinh Tế Quốc Dân,Economics,economics,24,dai hoc kinh te quoc dan,51,dai hoc kinh te quoc dan,100
cao đẳng y tế phú thọ,dược sĩ,duoc si,14,cao dang y te phu tho,76,cao dang y te phu tho,100
Đại học Mở Tp. HCM,Kế toán,ke toan,19,dai hoc mo hcm,38,None,-1
Trường Đại Học Nông Lâm TP.HCM,Chế biến lâm sản,che bien lam san,36,dai hoc nong lam hcm,36,dai hoc nong lam   hcm,95
"THPT Quang Trung, Thủy Nguyên, Hải Phòng",Chuyên ngành,chuyen nganh,32,thpt quang trung thuy nguyen hai phong,62,None,-1
Trường Đại Học Khoa học Thái Nguyên,Chuyên ngành,chuyen nganh,25,dai hoc khoa hoc thai nguyen,57,dai hoc khoa hoc thai nguyen,100
Học Viện Kĩ Thuật Quân Sự,Công Nghệ Thông Tin,cong nghe thong tin,27,hoc vien ki thuat quan su,52,hoc vien ky thuat quan su,96
Đại học Dược Hà Nội,Dược học,duoc hoc,22,dai hoc duoc ha noi,47,dai hoc duoc ha noi,100
Cao Đẳng Kinh Tế Đối Ngoại,Chuyên nghành Kế Toán Doanh Nghiệp,chuyen nghanh ke toan doanh nghiep,40,cao dang kinh te doi ngoai,62,cao dang kinh te doi ngoai,100
trường Đại học Tôn Đức Thắng,chuyên ngành Du Lịch và Lữ Hành,chuyen nganh du lich lu hanh,31,dai hoc ton duc thang,49,dai hoc ton duc thang,100
cao đẳng bách việt,công nghệ thông tin,cong nghe thong tin,43,cao dang bach viet,78,cao dang bach viet,100
viện đại mở hà nội,kinh tế,kinh te,32,vien dai mo ha noi,67,None,-1
Ho Chi Minh City Open University,Hệ thống thông tin quản lý,he thong thong tin quan ly,32,hcm city open university,68,None,-1
Cao đẳng cộng đồng vĩnh long,nuôi trồng thuỷ sản,nuoi trong thuy san,34,cao dang cong dong vinh long,75,None,-1
Trung cấp kinh tế kĩ thuật cà mau,Kế toán,ke toan,10,trung cap kinh te ki thuat ca mau,82,None,-1
ĐH kỹ thuật y - dược Đà Nẵng,Điều dưỡng nha khoa,dieu duong nha khoa,32,dai hoc ky thuat y duoc da nang,54,dai hoc ky thuat y duoc da nang,100
ly thuong kiet,THPT,thpt,0,ly thuong kiet,100,None,-1
Ton Duc Thang University,International Business,international business,39,ton duc thang university,83,None,-1
thpt nguyễn văn linh,học sinh,hoc sinh,36,thpt nguyen van linh,90,None,-1
Cao Đẳng Sư Phạm Đà Lạt,Chuyên ngành,chuyen nganh,23,cao dang su pham da lat,52,None,-1
Thpt yên thành 2,Chuyên ngành,chuyen nganh,43,thpt yen thanh 2,81,None,-1
University of Economics and Business - VNU,Chuyên ngành,chuyen nganh,23,university of economics and business vnu,83,None,-1
Đại học kinh tế - ĐHQGHN,Chuyên ngành,chuyen nganh,20,dai hoc kinh te dai hoc quoc gia ha noi,41,dai hoc kinh te dai hoc quoc gia ha noi,100
HUTECH - Đại học Công nghệ Tp.HCM,Chuyên ngành Marketing,chuyen nganh marketing,32,hutech dai hoc cong nghe hcm,43,None,-1
cao đẳng nghề cơ điện hà nội,kế toán,ke toan,17,cao dang nghe co dien ha noi,71,cao dang nghe co dien ha noi,100
